Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,9.76,46.97
2015,10.07,47.45
2016,9.77,47.18
2017,9.54,47.66
2018,10.03,48.75
2019,10.45,49.29
2020,9.54,46.34
2021,11.57,50.37
2022,11.04,49.46
2023,9.42,47.16
