Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,73.2%,"456,495",456495,73.2
Per Popolarità,22.1%,"137,892",137892,22.1
Ragionamento Temporale,3.6%,"22,581",22581,3.6
Continuità Tematica,0.4%,"2,694",2694,0.4
Ragionamento Logico Generico,0.4%,"2,315",2315,0.4
Per Esclusione,0.2%,"1,258",1258,0.2
