Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2015,22.99,46.27,30.68,100.0,1142.86
2016,22.7,46.42,30.63,100.0,1161.9
2017,20.98,45.24,29.05,100.0,1161.9
2018,22.89,46.47,30.77,100.0,1304.76
2019,22.87,46.69,30.84,100.0,1566.67
2020,18.64,42.54,26.49,100.0,652.38
2021,22.07,47.53,30.55,100.0,776.19
2022,21.39,47.46,30.14,100.0,1133.33
2023,19.67,45.6,28.42,100.0,604.76
