Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,14.3,45.62
2015,14.39,45.66
2016,14.45,45.9
2017,13.76,44.64
2018,14.48,44.95
2019,14.72,45.39
2020,13.63,43.55
2021,13.86,46.3
2022,13.89,45.41
2023,13.56,44.41
