Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,15034,17.4%,7.1,7.1,San Fermo
1,21772,25.3%,5.5,5.5,Teatro Romano
2,27185,31.5%,4.6,4.5,Torre Lamberti
3,21910,25.4%,3.2,3.2,Arena
4,35,0.0%,5.4,5.4,Verona Tour
5,87,0.1%,8.8,8.7,Museo Miniscalchi
6,199,0.2%,8.5,8.5,Museo Radio
