Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,10.13,47.07,21.11,100.0,963.64
2015,4.62,46.5,17.33,100.0,431.82
2016,8.17,48.85,21.27,100.0,659.09
2017,8.5,48.05,21.25,100.0,704.55
2018,14.28,50.29,26.45,100.0,1450.0
2019,15.38,52.38,28.95,100.0,1722.73
2020,11.99,50.03,25.61,95.45,663.64
2021,20.03,54.34,31.78,95.45,804.55
2022,17.66,54.96,31.5,95.45,1345.45
2023,16.64,52.15,28.88,95.45,509.09
