Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,33.59,74.78
2015,32.95,67.84
2016,31.19,71.63
2017,29.96,71.68
2018,30.65,71.48
2019,32.21,70.12
2020,31.03,71.42
2021,31.05,72.37
2022,31.13,74.63
2023,28.17,73.14
