Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,9.38,51.47
2015,5.23,49.21
2016,12.65,49.54
2017,12.75,49.24
2018,17.38,49.4
2019,17.55,49.1
2020,11.89,42.76
2021,14.26,45.48
2022,17.43,46.78
2023,15.93,45.07
