Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,14.92,52.29
2015,14.64,51.0
2016,13.86,50.5
2017,13.53,50.45
2018,14.28,49.48
2019,14.65,50.79
2020,12.4,46.11
2021,11.26,48.38
2022,11.76,48.05
2023,11.13,47.13
