Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,19490,27.7%,4.7,4.6,Torre Lamberti
1,2240,3.2%,8.0,7.9,Museo Storia
2,15422,22.0%,3.9,3.9,Casa Giulietta
3,18990,27.0%,7.3,7.2,Casa Giulietta
4,13508,19.2%,4.3,4.2,Arena
5,544,0.8%,7.1,7.0,AMO
6,42,0.1%,9.1,9.1,Museo Africano
