Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,0.01,0.59
2015,0.01,0.46
2016,0.02,0.56
2017,0.0,0.51
2018,0.01,0.47
2019,0.01,0.44
2020,0.0,0.43
2021,0.03,0.41
2022,0.01,0.67
2023,0.02,0.55
