Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,38.48,71.83,51.78,100.0,140.91
2015,37.03,70.66,49.77,100.0,163.64
2016,34.79,69.4,48.5,95.45,113.64
2017,33.55,69.24,47.97,95.45,168.18
2018,31.2,71.47,46.66,95.45,127.27
2019,33.74,73.19,48.93,95.45,231.82
2020,33.69,70.69,48.23,95.45,131.82
2021,29.3,71.99,46.2,95.45,140.91
2022,34.58,73.72,49.75,95.45,190.91
2023,31.36,71.64,47.52,95.45,140.91
