Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,0.1,10.94
2015,0.13,12.26
2016,0.09,11.88
2017,0.1,11.35
2018,0.08,11.02
2019,0.12,11.75
2020,0.04,12.64
2021,0.07,9.67
2022,0.13,9.99
2023,0.15,10.98
