Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,5.05,43.39,16.86,100.0,113.64
2015,4.8,41.26,15.84,95.45,104.55
2016,3.89,39.82,14.78,100.0,104.55
2017,5.26,41.58,16.32,95.45,100.0
2018,5.01,40.37,15.78,95.45,109.09
2019,4.74,40.36,15.53,95.45,113.64
2020,4.14,38.9,15.05,95.45,104.55
2021,3.85,38.42,14.23,95.45,104.55
2022,4.72,39.02,14.88,95.45,104.55
2023,3.86,37.83,14.09,95.45,95.45
