Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,25.81,52.25,34.48,100.0,154.55
2015,22.75,55.67,33.62,100.0,127.27
2016,27.37,58.36,38.03,100.0,145.45
2017,23.15,55.97,34.99,100.0,181.82
2018,28.87,60.25,40.3,100.0,168.18
2019,29.4,59.59,41.05,100.0,331.82
2020,23.98,58.51,37.12,100.0,136.36
2021,30.51,59.21,41.57,100.0,222.73
2022,32.37,60.78,42.96,100.0,195.45
2023,29.78,60.71,41.46,100.0,131.82
