Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,0.14,5.22
2015,0.18,5.94
2016,0.09,6.18
2017,0.09,6.25
2018,0.1,5.44
2019,0.13,5.56
2020,0.04,5.93
2021,0.11,5.8
2022,0.13,6.69
2023,0.21,7.14
