Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,0.01,0.21
2015,0.0,0.18
2016,0.0,0.22
2017,0.0,0.2
2018,0.01,0.4
2019,0.0,0.26
2020,0.0,0.26
2021,0.01,0.29
2022,0.01,0.25
2023,0.0,0.1
