Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,3.22,28.65,11.0,68.18,2468.18
2015,3.23,29.45,11.42,63.64,2590.91
2016,3.12,30.24,11.44,63.64,2622.73
2017,2.88,32.34,11.54,68.18,2686.36
2018,2.83,31.4,11.26,59.09,2636.36
2019,2.99,31.95,11.67,63.64,3409.09
2020,3.73,34.51,13.2,36.36,1290.91
2021,2.23,27.56,9.74,36.36,1581.82
2022,2.23,28.94,10.17,54.55,2386.36
2023,2.5,30.97,10.84,40.91,1213.64
