Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,14.81,42.88
2015,14.08,43.39
2016,13.77,43.41
2017,13.89,42.2
2018,14.22,42.75
2019,14.96,42.97
2020,12.31,41.47
2021,13.91,43.99
2022,15.31,43.91
2023,13.78,42.62
