Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,5.23,41.42
2015,4.81,41.09
2016,5.11,41.83
2017,4.79,41.41
2018,4.64,42.39
2019,5.02,42.82
2020,5.73,42.4
2021,4.45,41.77
2022,4.63,41.21
2023,5.16,41.51
