Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,5.05,43.39
2015,4.8,41.26
2016,3.89,39.82
2017,5.26,41.58
2018,5.01,40.37
2019,4.74,40.36
2020,4.14,38.9
2021,3.85,38.42
2022,4.72,39.02
2023,3.86,37.83
