Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,55.6%,"347,275",347275,55.6
Per Popolarità,23.6%,"147,653",147653,23.6
Ragionamento Temporale,12.5%,"78,118",78118,12.5
Ragionamento Logico Generico,6.3%,"39,045",39045,6.3
Continuità Tematica,1.5%,"9,518",9518,1.5
Per Esclusione,0.5%,"2,914",2914,0.5
