Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,73.5%,"560,960",560960,73.5
Per Popolarità,21.3%,"162,340",162340,21.3
Ragionamento Temporale,4.3%,"32,658",32658,4.3
Continuità Tematica,0.5%,"3,724",3724,0.5
Ragionamento Logico Generico,0.3%,"2,194",2194,0.3
Per Esclusione,0.2%,"1,711",1711,0.2
