Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,77.6%,"484,683",484683,77.6
Per Popolarità,15.1%,"94,493",94493,15.1
Ragionamento Temporale,4.1%,"25,917",25917,4.1
Continuità Tematica,1.4%,"8,843",8843,1.4
Ragionamento Logico Generico,1.3%,"8,042",8042,1.3
Per Esclusione,0.4%,"2,552",2552,0.4
