Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,56.4%,"352,121",352121,56.4
Per Popolarità,23.3%,"145,335",145335,23.3
Ragionamento Temporale,12.2%,"76,409",76409,12.2
Ragionamento Logico Generico,6.1%,"38,172",38172,6.1
Continuità Tematica,1.5%,"9,464",9464,1.5
Per Esclusione,0.5%,"3,027",3027,0.5
