Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,53.1%,"331,703",331703,53.1
Per Popolarità,24.5%,"153,228",153228,24.5
Ragionamento Temporale,13.3%,"83,085",83085,13.3
Ragionamento Logico Generico,6.6%,"41,056",41056,6.6
Continuità Tematica,2.0%,"12,443",12443,2.0
Per Esclusione,0.5%,"3,009",3009,0.5
