Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,69.8%,"435,739",435739,69.8
Per Popolarità,17.1%,"106,408",106408,17.1
Ragionamento Temporale,9.0%,"56,449",56449,9.0
Per Esclusione,2.0%,"12,640",12640,2.0
Continuità Tematica,1.6%,"9,884",9884,1.6
Ragionamento Logico Generico,0.5%,"2,883",2883,0.5
