Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,7.52,42.53
2015,5.82,42.08
2016,9.62,42.31
2017,9.72,41.12
2018,13.46,42.9
2019,13.19,43.47
2020,10.48,40.15
2021,13.16,43.32
2022,13.99,43.82
2023,13.45,41.82
