Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,21.77,56.49
2015,22.83,57.14
2016,26.47,62.33
2017,21.38,57.95
2018,27.46,69.35
2019,27.33,65.43
2020,27.4,66.28
2021,30.19,65.04
2022,30.26,67.07
2023,25.5,63.77
