Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,41.48,64.38
2015,38.06,65.84
2016,45.45,68.29
2017,39.39,64.7
2018,49.61,73.53
2019,51.67,73.19
2020,53.21,72.32
2021,47.03,72.07
2022,49.76,73.48
2023,47.36,71.58
