Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2015,0.17,23.79,9.06,85.71,952.38
2016,0.12,23.43,8.84,80.95,938.1
2017,0.15,22.03,8.29,76.19,961.9
2018,0.1,22.16,8.28,76.19,1009.52
2019,0.13,22.87,8.65,71.43,1152.38
2020,0.04,21.73,8.47,66.67,657.14
2021,0.07,19.27,7.21,66.67,652.38
2022,0.15,21.0,7.88,71.43,909.52
2023,0.21,21.34,8.12,71.43,585.71
