Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,29.87,59.93,40.63,100.0,2445.45
2015,24.88,61.85,38.02,100.0,922.73
2016,31.75,66.45,44.21,100.0,1018.18
2017,28.14,62.98,40.9,100.0,963.64
2018,36.49,69.39,48.72,100.0,1154.55
2019,32.42,66.3,45.33,100.0,1559.09
2020,31.1,66.76,44.83,100.0,709.09
2021,31.66,67.43,45.42,95.45,636.36
2022,30.47,68.0,45.34,95.45,981.82
2023,29.13,65.99,43.9,95.45,568.18
