Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,9.85,16.49
2015,10.24,16.87
2016,9.99,16.56
2017,9.42,16.04
2018,9.27,15.6
2019,10.85,16.74
2020,10.95,17.85
2021,8.95,13.59
2022,10.21,14.75
2023,10.18,15.53
