Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,3.56,29.57
2015,3.31,29.51
2016,3.4,30.01
2017,3.19,29.53
2018,3.21,29.89
2019,3.39,30.27
2020,4.18,27.47
2021,2.98,30.32
2022,2.95,30.25
2023,3.21,29.95
