Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,7.42,12.12
2015,7.61,12.66
2016,8.15,12.95
2017,8.12,13.97
2018,7.53,13.44
2019,7.82,13.47
2020,8.91,14.3
2021,8.62,13.16
2022,9.74,13.54
2023,9.97,14.37
