Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,27.1,63.0
2015,25.59,62.41
2016,26.04,63.84
2017,24.72,62.75
2018,26.41,62.09
2019,26.31,62.47
2020,18.23,57.62
2021,21.21,58.9
2022,25.17,60.87
2023,22.63,61.72
