Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,9.76,46.98,22.43,100.0,177.27
2015,10.07,47.45,22.95,100.0,168.18
2016,9.77,47.18,22.8,100.0,172.73
2017,9.54,47.66,22.54,100.0,186.36
2018,10.03,48.75,23.28,100.0,200.0
2019,10.45,49.3,23.85,100.0,195.45
2020,9.54,46.34,22.32,95.45,150.0
2021,11.57,50.37,25.14,95.45,154.55
2022,11.04,49.46,24.54,100.0,172.73
2023,9.42,47.16,22.65,95.45,131.82
