Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,19.4,52.22
2015,18.29,51.54
2016,19.0,51.52
2017,17.95,50.42
2018,19.0,49.69
2019,19.5,50.57
2020,14.47,47.9
2021,15.93,48.61
2022,18.27,49.34
2023,16.24,48.77
