Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,20.65,48.58
2015,22.44,49.98
2016,20.86,45.8
2017,16.93,43.08
2018,29.65,55.94
2019,27.96,54.66
2020,27.47,55.51
2021,29.42,55.19
2022,32.5,57.19
2023,26.33,53.45
