Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,19.16,53.11,30.73,100.0,445.45
2015,19.59,53.46,31.27,100.0,518.18
2016,20.14,54.86,32.34,100.0,495.45
2017,19.53,52.75,31.13,100.0,513.64
2018,20.94,54.16,32.66,100.0,450.0
2019,20.29,54.32,32.22,100.0,568.18
2020,14.56,51.26,27.38,95.45,277.27
2021,19.26,56.33,31.85,95.45,272.73
2022,21.54,56.16,33.44,100.0,463.64
2023,19.19,54.53,31.5,95.45,218.18
