Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,53.4%,"12,130,390",12130390,53.4
Ragionamento Temporale,3.9%,"894,117",894117,3.9
Per Popolarità,2.8%,"646,552",646552,2.8
Thematic Continuity,2.0%,"455,919",455919,2.0
Per Esclusione,0.4%,"102,061",102061,0.4
