Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,4.0,34.54
2015,4.31,34.59
2016,4.17,34.68
2017,4.49,35.36
2018,4.39,35.37
2019,4.16,35.37
2020,4.65,34.24
2021,3.75,35.65
2022,4.96,34.9
2023,3.94,34.75
