Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,10.95,27.46,17.06,81.82,44754.55
2015,11.44,27.34,17.29,81.82,44040.91
2016,11.22,27.48,17.22,72.73,29868.18
2017,10.61,26.86,16.61,63.64,31695.45
2018,10.61,26.99,16.68,68.18,31922.73
2019,12.01,27.35,17.63,63.64,46972.73
2020,11.77,24.89,16.61,63.64,10368.18
2021,10.35,27.05,16.35,68.18,13827.27
2022,11.71,28.88,17.97,63.64,29713.64
2023,11.57,28.04,17.63,68.18,9390.91
