Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Temporale,48.8%,"258,591",258591,48.8
Ragionamento Geospaziale,37.2%,"197,120",197120,37.2
Per Popolarità,13.2%,"69,774",69774,13.2
Per Esclusione,0.5%,"2,540",2540,0.5
Continuità Tematica,0.4%,"2,036",2036,0.4
Ragionamento Logico Generico,0.0%,64,64,0.0
