Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,1.32,33.72,13.75,68.18,1272.73
2016,1.35,34.71,14.4,63.64,1100.0
2017,1.4,34.18,14.32,68.18,1204.55
2018,1.29,34.05,14.2,50.0,1145.45
2019,1.3,34.12,14.04,59.09,1472.73
2020,1.86,28.94,12.43,50.0,645.45
2021,1.16,32.41,13.34,45.45,727.27
2022,1.4,37.57,15.71,54.55,845.45
2023,1.8,36.64,15.55,50.0,590.91
