Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,33.96,86.31
2015,32.1,84.36
2016,31.98,85.19
2017,31.39,86.45
2018,32.84,85.89
2019,32.45,86.14
2020,38.35,85.49
2021,30.19,82.79
2022,32.72,84.75
2023,30.58,84.12
