card_id,cluster,PC1,PC2
040010121B6781,0,-0.8444037241214475,-0.9497888372304841
04001D4A216285,5,3.5120841333344615,1.1422796391004224
04001E4A216285,2,1.737035768870411,-2.2350713345282722
0400214A216285,1,-0.5992082115500883,1.0509105383557578
0400244A216285,4,-0.23500298997834557,-0.5548878657834596
04002C4A216285,0,-0.3785878570781692,-0.6240344382459769
04003D121B6781,0,-0.9110030042625226,1.6168995180137151
040046121B6781,0,-0.3972486394744067,1.4836353621642862
040047121B6781,0,-1.5319127587129044,-0.06005287174132128
040070121B6781,4,0.46004610750236935,-1.6302585173988955
04007F121B6781,0,-2.0381270606117625,-0.11242340201816521
0400AE121B6781,0,-2.0381270606117625,-0.11242340201816521
0400BB121B6781,4,0.919394724732649,-0.6594148201600506
0400E1121B6781,5,1.9810354905578247,1.2956416661617935
0400E3121B6781,2,1.324837425603105,-1.8536532646543238
0401034A216285,0,-2.0381270606117625,-0.11242340201816521
040110121B6781,0,-0.8444037241214475,-0.9497888372304841
040117121B6781,0,-1.3506180260203053,-1.0021593675073281
04011D4A216285,5,3.5120841333344615,1.1422796391004224
040122121B6781,2,0.4683079953570369,0.157063277396221
0401254A216285,1,-1.0650240785933665,0.7251561393712507
040127121B6781,0,-0.8011448765746138,-0.08991726988686331
0401274A216285,1,0.3299797599727048,0.3170128537210895
040129121B6781,1,1.0456675163324793,0.6584178278280929
04012B121B6781,1,0.3581584817410224,1.5481537933172558
04012C4A216285,0,-1.0660968916696263,0.2657015272431859
04012E121B6781,0,-1.3506180260203053,-1.0021593675073281
0401304A216285,1,0.0958408859306267,-0.02446011325967774
0401314A216285,0,-0.18484741789167086,-0.009177602557546426
0401364A216285,0,-1.0660968916696263,0.2657015272431859
040147121B6781,0,-1.5319127587129044,-0.06005287174132128
04014A121B6781,2,1.4873541564217423,0.5999226925587139
04014A4A216285,1,0.9487634790549504,-0.256831921004601
040152121B6781,1,-0.5992082115500883,1.0509105383557578
040157121B6781,1,-0.8837293459007675,-0.21695035639475618
04015B121B6781,4,0.45250604461311134,-1.4446238312726227
04015D121B6781,1,-0.5992082115500883,1.0509105383557578
040168121B6781,2,1.0138079496213783,-2.390841622509003
04016A121B6781,0,-0.8086849394638718,0.09571741623940944
040178121B6781,0,-1.338172319526406,0.5548039639471093
04018B121B6781,4,0.5787788362129412,-0.12679118328447891
0401AE121B6781,4,2.0694290441339986,-0.006769341638186873
0401BB121B6781,2,0.2355581892795772,-0.2866727667355836
0401BE121B6781,2,3.943684502949661,0.45514610915191334
0401C04A216281,1,-1.0574840157041085,0.539521453244978
0401C14A216281,1,-0.4103734159682312,-0.07683064353652166
0401D2121B6781,0,-0.8319580176275481,0.6071744942239532
0401DB4A216281,1,1.7001732935251677,1.796237984858485
040217121B6781,0,-1.3506180260203053,-1.0021593675073281
040219121B6781,4,0.7223637033127649,-0.057644610821961824
04021A4A216285,4,-0.00576975954090891,-1.9560129163834028
04021E4A216285,4,0.3521800250601213,-0.6538988363915189
0402204A216285,1,-0.7326044159116858,-0.3334384700585117
0402214A216285,4,2.9117354904304813,-1.1819157839721515
040222121B6781,2,-0.006120747651759013,-0.44251104759007825
0402224A216285,0,-2.0381270606117625,-0.11242340201816521
0402254A216285,1,-1.0650240785933665,0.7251561393712507
0402274A216285,1,-0.17623454192615312,0.2646423234442456
040229121B6781,0,-1.5723111935684841,0.21333099696634197
04022B121B6781,6,0.6257576768412947,0.6806501687294689
0402304A216285,1,0.0958408859306267,-0.02446011325967774
0402314A216285,0,-0.18484741789167086,-0.009177602557546426
040238121B6781,0,-0.43182020791871556,0.3826564530272292
040242121B6781,0,-0.24135302031361985,-1.1978112200979036
040244121B6781,6,0.7504106802223044,-1.6346326435585345
0402474A216285,2,2.2124369297163344,-1.4856090401406123
04024A4A216285,0,-1.5723111935684841,0.21333099696634197
04024B4A216285,5,0.7497471739071813,1.2044532296644723
04024E121B6781,0,-1.3506180260203053,-1.0021593675073281
040253121B6781,4,1.6880438419196269,-0.3224430358750544
040255121B6781,5,0.5570795477969426,1.0490510061041063
04025D121B6781,0,-1.3148992413627296,0.043346885962565515
040263121B6781,0,-0.8648163895938697,0.6949236768053438
040278121B6781,0,-1.5243726958236463,-0.245687557867594
04028B121B6781,4,0.5787788362129412,-0.12679118328447891
0402B6121B6781,6,1.0590716031345164,-0.8450792858093392
0402B8121B6781,1,0.0958408859306267,-0.02446011325967774
0402BE121B6781,2,3.2484838151993163,-2.0458986467861457
0402C04A216281,1,-1.0574840157041085,0.539521453244978
0402C1121B6781,0,-1.369278808416543,1.1055104329029353
0402C24A216281,1,-1.0574840157041085,0.539521453244978
0402C94A216281,0,-1.207033158920482,-0.9330127950448109
0402DC121B6781,4,0.6819652684571852,0.2157392578857016
0402DF121B6781,6,2.1118586723739754,-2.8811590433096548
0402E4121B6781,5,1.6596712010122265,1.0721833806230285
040303121B6785,0,-1.0660968916696263,0.2657015272431859
040319121B6781,4,0.7223637033127649,-0.057644610821961824
04031A4A216285,0,-0.8011448765746138,-0.08991726988686331
0403224A216285,0,-2.0381270606117625,-0.11242340201816521
040328121B6781,0,-1.5243726958236463,-0.245687557867594
040329121B6781,0,-1.5723111935684841,0.21333099696634197
04032B121B6781,0,-2.0381270606117625,-0.11242340201816521
0403334A216285,0,-1.5319127587129044,-0.06005287174132128
040338121B6781,0,-0.43182020791871556,0.3826564530272292
040344121B6781,6,0.7504106802223044,-1.6346326435585345
0403474A216285,1,0.28204126222786713,0.7760314085550255
04034B4A216285,0,-0.3428690724205936,0.4214718152239167
040354121B6781,6,0.32865470910707606,-2.328716756457122
040355121B6781,6,0.32111464621781804,-2.143082070330849
040356121B6781,1,-0.3417962593443339,0.8809264273519815
040358121B6781,0,-0.8444037241214475,-0.9497888372304841
040359121B6781,6,0.32865470910707606,-2.328716756457122
04035C121B6781,2,-0.9781509165938952,-0.8206359768514293
04035E121B6781,1,0.31285440328080133,0.07893964444420905
040363121B6781,0,-0.8648163895938697,0.6949236768053438
04036F121B6781,0,-0.8011448765746138,-0.08991726988686331
040387121B6781,0,0.05390375191784583,1.9285080868489404
04038A121B6781,0,-0.8368636612321894,-1.1354235233567571
0403A14A216281,4,1.00053480732817,0.5672929296141085
0403B6121B6781,6,-0.4067928232292187,-0.9799622361340229
0403B8121B6781,1,-0.3417962593443339,0.8809264273519815
0403BD121B6781,4,1.8191830025255509,-1.810259794866975
0403C1121B6781,1,1.196792446321561,0.5419297141643374
0403C24A216281,1,-1.0574840157041085,0.539521453244978
0403C34A216281,0,-1.5319127587129044,-0.06005287174132128
0403C7121B6781,0,-1.5723111935684841,0.21333099696634197
0403C94A216281,2,-0.5123350495506169,-0.49488157786692216
0403D6121B6781,4,2.3089535963700083,1.354509353879982
0403DC121B6781,4,0.6819652684571852,0.2157392578857016
0403DD121B6781,2,2.0659242954946917,0.22709179594886264
0403DD4A216281,1,1.1892523834323028,0.7275644002906102
0403DE121B6781,5,1.1019087786951383,3.155159282157064
0403DF121B6781,6,2.1118586723739754,-2.8811590433096548
0403E4121B6781,5,1.6596712010122265,1.0721833806230285
040403121B6785,0,-1.0660968916696263,0.2657015272431859
0404054A216285,1,-1.1054225134489462,0.998540008078914
0404224A216285,1,2.180331635570977,2.2021060617337005
040428121B6781,6,0.30920919099388394,1.0531325220514642
0404294A216285,2,0.2231124827856778,-1.843636098190021
0404334A216285,0,-1.5319127587129044,-0.06005287174132128
040438121B6781,1,-1.1054225134489462,0.998540008078914
040439121B6781,1,0.1315596705882023,1.0210461402102158
0404394A216285,4,1.1768066769384034,-0.8293989311638271
040445121B6781,1,-1.0650240785933665,0.7251561393712507
04044C121B6781,1,-0.4619733747855389,0.4771337565038313
04044E121B6781,4,0.4882248292706869,-0.39911757780272894
040451121B6781,1,-1.1054225134489462,0.998540008078914
040452121B6781,0,-0.8368636612321894,-1.1354235233567571
040454121B6781,6,-1.0161935573723204,-1.3748632075810474
040455121B6781,0,-1.5319127587129044,-0.06005287174132128
040456121B6781,1,-0.3417962593443339,0.8809264273519815
040457121B6781,0,-1.3430779631310472,-1.187794053633601
040458121B6781,5,-1.2546573988019918,1.217695543867609
04045C121B6781,2,-0.9781509165938952,-0.8206359768514293
04045E121B6781,1,0.4892976423469466,0.06033703432533575
040460121B6781,0,-0.8848021589770272,-0.6764049685228208
040467121B6781,4,1.1757338638621437,-1.2888535432918922
040469121B6781,4,-0.017989472628171046,-0.45148810807957285
