Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,7.27,54.23
2015,6.26,55.06
2016,11.56,57.6
2017,11.51,55.82
2018,19.08,57.81
2019,20.46,61.02
2020,14.31,55.75
2021,16.82,57.43
2022,20.86,59.32
2023,18.69,56.93
