Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,29.86,59.92
2015,24.88,61.85
2016,31.75,66.45
2017,28.14,62.98
2018,36.49,69.39
2019,32.42,66.3
2020,31.1,66.76
2021,31.66,67.41
2022,30.47,68.0
2023,29.13,65.98
