Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,5.19,44.21
2015,5.56,47.41
2016,3.16,46.27
2017,3.21,45.32
2018,5.83,42.11
2019,6.99,42.22
2020,6.41,44.72
2021,6.62,38.34
2022,6.59,38.33
2023,6.39,39.19
