Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,33.59,74.78,49.62,100.0,286.36
2015,32.95,67.84,46.22,100.0,245.45
2016,31.19,71.63,46.99,95.45,268.18
2017,29.96,71.68,46.58,95.45,240.91
2018,30.65,71.48,46.18,95.45,163.64
2019,32.21,70.12,46.57,95.45,468.18
2020,31.03,71.42,46.53,95.45,209.09
2021,31.05,72.37,46.81,95.45,177.27
2022,31.13,74.63,48.0,95.45,709.09
2023,28.17,73.14,46.13,95.45,150.0
