Cluster,N_Turisti,Percentuale,Visite_Medie,POI_Distinti,Top_POI
0,4340,5.1%,6.4,6.4,Museo Lapidario
1,17540,20.6%,4.7,4.6,Torre Lamberti
2,10171,12.0%,5.9,5.9,San Zeno
3,31109,36.6%,3.0,3.0,Arena
4,4155,4.9%,6.1,6.1,Museo Storia
5,136,0.2%,7.2,7.2,Museo Miniscalchi
6,17537,20.6%,5.0,5.0,Duomo
