Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,4.27,35.3,16.86,81.82,2568.18
2015,4.75,35.06,17.08,77.27,2513.64
2016,4.04,35.96,17.12,68.18,2336.36
2018,4.09,35.02,16.56,68.18,2513.64
2019,4.39,36.47,17.23,72.73,3368.18
2020,6.21,32.81,17.17,59.09,1309.09
2021,3.28,33.96,15.57,63.64,1236.36
2022,3.23,35.12,16.18,68.18,1727.27
2023,3.69,34.18,15.99,63.64,1018.18
