Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,3.96,35.36
2015,4.64,37.61
2016,3.49,38.69
2017,3.48,37.35
2018,5.09,37.21
2019,5.8,37.66
2020,5.36,38.84
2021,5.72,34.75
2022,6.32,36.27
2023,5.39,36.37
