Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,51.6%,"321,158",321158,51.6
Per Popolarità,33.1%,"206,144",206144,33.1
Ragionamento Temporale,10.7%,"66,685",66685,10.7
Continuità Tematica,3.3%,"20,346",20346,3.3
Per Esclusione,1.1%,"6,765",6765,1.1
Ragionamento Logico Generico,0.3%,"1,827",1827,0.3
