Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,5.9,43.67
2015,5.18,40.96
2016,4.01,40.16
2017,5.76,42.25
2018,5.0,38.63
2019,4.96,39.36
2020,4.9,39.12
2021,3.75,38.31
2022,4.57,37.96
2023,3.84,38.81
