Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,70.0%,"436,710",436710,70.0
Per Popolarità,15.9%,"99,193",99193,15.9
Ragionamento Temporale,9.8%,"61,251",61251,9.8
Per Esclusione,2.3%,"14,314",14314,2.3
Continuità Tematica,1.5%,"9,109",9109,1.5
Ragionamento Logico Generico,0.5%,"3,165",3165,0.5
