Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,5.23,41.43,15.97,95.45,695.45
2015,4.81,41.09,15.58,95.45,759.09
2016,5.11,41.83,15.94,95.45,709.09
2017,4.79,41.41,15.58,95.45,745.45
2018,4.64,42.39,15.75,100.0,736.36
2019,5.02,42.82,16.23,95.45,1000.0
2020,5.74,42.41,16.63,100.0,327.27
2021,4.45,41.77,15.39,95.45,404.55
2022,4.63,41.21,15.35,95.45,718.18
2023,5.16,41.51,16.15,95.45,268.18
