Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,25.81,52.25
2015,22.75,55.67
2016,27.37,58.36
2017,23.15,55.97
2018,28.87,60.25
2019,29.4,59.59
2020,23.98,58.51
2021,30.51,59.21
2022,32.37,60.78
2023,29.78,60.71
