Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Geospaziale,71.2%,"444,774",444774,71.2
Ragionamento Temporale,19.3%,"120,223",120223,19.3
Per Popolarità,9.5%,"59,291",59291,9.5
Continuità Tematica,0.0%,126,126,0.0
Per Esclusione,0.0%,102,102,0.0
Ragionamento Logico Generico,0.0%,13,13,0.0
