Category,Percentage,Count,Records,Percentage_Numeric
Ragionamento Temporale,50.2%,"288,053",288053,50.2
Ragionamento Geospaziale,36.4%,"209,072",209072,36.4
Per Popolarità,12.7%,"72,739",72739,12.7
Per Esclusione,0.4%,"2,436",2436,0.4
Continuità Tematica,0.3%,"1,736",1736,0.3
Ragionamento Logico Generico,0.0%,35,35,0.0
