Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,21.3,52.69,30.9,95.45,131.82
2015,19.69,51.86,29.5,95.45,131.82
2016,19.81,51.78,29.63,95.45,131.82
2017,19.6,50.46,28.95,95.45,136.36
2018,20.2,50.02,29.35,95.45,145.45
2019,20.8,50.99,29.99,95.45,118.18
2020,14.91,47.48,24.64,95.45,104.55
2021,16.96,48.7,26.31,95.45,118.18
2022,20.01,49.5,28.82,95.45,122.73
2023,18.02,48.58,27.18,95.45,100.0
