Year,Top-1 Accuracy (%),Top-5 Hit Rate (%)
2014,31.19,54.04
2015,29.2,57.57
2016,31.29,56.11
2017,27.39,54.47
2018,34.03,62.98
2019,33.9,64.15
2020,32.48,61.3
2021,34.27,65.43
2022,35.71,63.3
2023,32.37,62.73
