Year,Top-1 Accuracy (%),Top-5 Hit Rate (%),MRR (%),Coverage (%),Diversity Ratio (%)
2014,9.38,51.47,22.03,100.0,109.09
2015,5.23,49.21,19.63,100.0,104.55
2016,12.65,49.54,24.67,95.45,118.18
2017,12.75,49.24,24.52,95.45,113.64
2018,17.38,49.4,27.67,95.45,131.82
2019,17.55,49.1,28.04,95.45,140.91
2020,11.89,42.76,22.33,95.45,109.09
2021,14.26,45.48,24.22,95.45,113.64
2022,17.43,46.78,26.56,95.45,140.91
2023,15.93,45.07,25.08,95.45,95.45
